Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
1	2028-10-01	695.9813370337345	224950766.89824727	2349403.0176414894	14422103.38431419	9145518.047635408
1	2028-11-01	666.6246504593614	210528663.51393306	2198366.060119529	15259881.623436391	10196935.917367565
1	2028-12-01	633.0498022598006	195268781.8904967	2038806.6473573186	15080344.152052417	10249776.78751712
1	2029-01-01	594.5029987544754	180188437.73844415	1881124.3604788336	11632993.604884923	7075759.793576562
1	2029-02-01	563.0253598499837	168555444.13355935	1759385.3380317201	10611392.247865546	6394497.995642452
1	2029-03-01	514.6899842348778	157944051.88569373	1648471.3911482152	10384798.73579178	6404953.481993548
1	2029-04-01	492.13651992938986	147559253.14990175	1539963.6201881338	9633897.727878993	5898760.013588253
1	2029-05-01	411.3905251114635	137925355.42202306	1439292.7292347145	8351140.60681461	5429170.780921178
1	2029-06-01	301.77152503934695	129574214.8152085	1352163.9227186248	7341165.842484097	5294740.533150775
1	2029-07-01	289.188353697289	122233048.97272435	1275441.3783235098	6951425.41092996	4981717.683913145
1	2029-08-01	277.9595727049294	115281623.56179425	1202908.467844785	6948438.745867487	5054613.332831023
1	2029-09-01	265.55303614043174	108333184.81592688	1130251.9555595578	6187022.969131318	4373681.072004614
1	2029-10-01	253.00012839927047	102146161.84679554	1065504.3486453802	6482680.736905073	4755937.608487979
1	2029-11-01	241.0222725545651	95663481.10989046	997903.0429216034	6246768.605838396	4598777.6153889615
1	2029-12-01	230.5249961224569	89416712.50405212	932677.8191350787	6287235.044478074	4705592.961318962
1	2030-01-01	218.31953250424	83129477.45957404	867035.6864748283	4828158.837839393	3330258.4807216376
1	2030-02-01	209.54323883261037	78301318.62173459	816583.5142964858	4484815.627798846	3040671.384413436
1	2030-03-01	200.9063291162599	73816502.99393575	769674.3198744624	4499330.110654273	3110878.6702145822
1	2030-04-01	191.49728341132135	69317172.88328151	722688.4154002052	4007291.7652378846	2682620.469032892
1	2030-05-01	183.82327827124175	65309881.11804353	680831.9104332492	3952960.1353341714	2674825.812747755
1	2030-06-01	175.352510426612	61356920.98270947	639608.0425572625	3775406.497403523	2549638.761972654
1	2030-07-01	167.86276818511567	57581514.48530582	600208.7366425961	3348372.7354849568	2180132.9542181278
1	2030-08-01	160.95344029660487	54233141.74982089	565208.6136327967	3415302.4350919584	2294216.4188463474
1	2030-09-01	153.69410614408127	50817839.31472891	529606.5023180847	3079195.0305564366	2001349.245137782
1	2030-10-01	146.88187847668607	47738644.28417254	497415.9743970515	3211572.6331968782	2177088.707024564
1	2030-11-01	138.93610846114206	44527071.65097564	463855.7849248929	3015192.6870239037	2038232.3421840009
1	2030-12-01	131.5294310783993	41511878.963951744	432386.1672627345	3320626.1429288164	2389187.563722631
1	2031-01-01	123.50159021930136	38191252.82102289	397802.53441800876	2643490.356816916	1773109.0570713833
1	2031-02-01	117.10057092691031	35547762.46420603	370296.0327194619	2408462.2960024495	1583696.3059914387
1	2031-03-01	111.28223223079274	33139300.168203562	345138.2511997815	2074915.3412317769	1294776.5544842025
1	2031-04-01	106.56084736511261	31064384.826971807	323411.6151008349	1958066.2541512921	1209735.6856571785
1	2031-05-01	100.81440279526069	29106318.57282048	0.0	0.0	0.0
2	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
2	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	859068376.5671636	697251289.3842787
2	2019-06-01	21566.150469273914	21490847204.291138	233964465.41035962	807181439.2963225	648935152.0883346
2	2019-07-01	20973.894695382118	20683665764.99482	225042337.7530579	772698735.0508552	618124806.7147621
2	2019-08-01	20401.64673422722	19910967029.943977	216509757.60961738	762824155.0744488	611768338.8946081
2	2019-09-01	19840.476911861806	19148142874.86944	208100602.3847341	741441079.1896195	593932188.8223561
2	2019-10-01	19297.713709496133	18406701795.679863	199937469.16897678	738863531.3602154	594810134.7386315
2	2019-11-01	18724.610615492806	17667838264.319733	191791128.69519892	763709509.5463808	623556662.0180553
2	2019-12-01	18102.803723101704	16904128754.773193	183376714.5283025	814490831.0626202	678622920.8771572
2	2020-01-01	17415.024405740874	16089637923.710623	174398148.89205983	624204078.3232095	493410989.6520608
2	2020-02-01	16897.11184772291	15465433845.387514	167537060.60885137	587751190.1113151	461588884.8821466
2	2020-03-01	16346.329906003744	14877682655.27607	161072908.01294637	580666055.686072	458203668.9764289
2	2020-04-01	15845.36870346707	14297016599.590015	154702522.04608455	556505145.1114728	437934113.86656654
2	2020-05-01	15329.44458149379	13740511454.478575	148595093.44064608	541490461.0078044	426641024.0888359
2	2020-06-01	14822.61110304859	13199020993.470774	142659812.301864	513986436.85170555	402534786.99833643
2	2020-07-01	14356.640129880529	12685034556.619083	137027456.2212881	489298052.514268	381088754.8993875
2	2020-08-01	13925.50766155128	12195736504.104727	131668369.54504296	469117312.21484214	363722162.3254667
2	2020-09-01	13492.487489458563	11726619191.88988	126531816.05938973	455723441.95570797	353253161.73627645
2	2020-10-01	13087.226895444222	11270895749.934242	121546594.89308132	462606909.2151452	362831838.5975899
2	2020-11-01	12659.964737498574	10808288840.719088	116490491.17503044	483158584.93603224	386324893.9327532
2	2020-12-01	12200.523666684054	10325130255.783096	111213077.13954836	511325980.38819534	417811440.7491105
2	2021-01-01	11702.128253588047	9813804275.394917	105632746.94611533	386269022.7543105	305342005.11274093
2	2021-02-01	10752.533953081242	9427535252.640541	101416791.43015063	369906932.8157312	296160928.0612781
2	2021-03-01	10024.479722960034	9057628319.824793	97386235.95319141	358890096.9269082	290837184.5060336
2	2021-04-01	9567.184274738764	8698738222.89794	93482087.69758102	343255900.4002777	278251843.9900743
2	2021-05-01	9308.481873048599	8355482322.497616	89747941.42167376	330819141.76125926	267208487.69891042
2	2021-06-01	9055.299795312738	8024663180.7364	86154105.49330072	320891993.2168404	258672804.86493656
2	2021-07-01	8809.457396569303	7703771187.519569	82669738.66559961	316362782.2634933	255416562.46290132
2	2021-08-01	8566.861222936723	7387408405.256044	79240077.78950566	305584737.29313946	246068573.0315689
2	2021-09-01	8328.799237853696	7081823667.962896	75933519.04881181	289950736.6704829	231836681.34730345
2	2021-10-01	8098.922527736439	6791872931.292416	72793715.7835214	295189625.2699004	238432219.2907752
2	2021-11-01	7856.105211070605	6496683306.022533	69599712.75443746	304194921.05993944	248909724.1508598
2	2021-12-01	7588.206435299127	6192488384.962569	66307235.342760265	323783658.5626716	270161771.3312521
2	2022-01-01	7292.744140728785	5868704726.399922	62803818.463624775	249297918.92131022	197589456.8103671
2	2022-02-01	7080.068425814281	5619406807.478601	60111933.1874186	240126914.1754047	189768480.1271032
2	2022-03-01	6871.340442229504	5379279893.303192	57518972.87308489	234136548.1334074	185027226.42309296
2	2022-04-01	6667.582381954909	5145143345.169778	54997209.045638934	223482247.03227204	175763034.785897
2	2022-05-01	6468.094817698045	4921661098.137518	52589698.01493486	220267642.02470642	173817029.56977868
2	2022-06-01	6271.423992232469	4701393456.112814	50220906.84843091	210807556.62621963	165675352.0660059
2	2022-07-01	6077.464118272606	4490585899.486581	47950882.473442584	207997656.50499016	164076464.75981423
2	2022-08-01	5884.356033552816	4282588242.9816074	45717824.73751246	197948353.6694367	155377874.78001875
2	2022-09-01	5697.204358586284	4084639889.3121676	43591785.01654052	186793671.7326968	145504966.1532177
2	2022-10-01	5510.06349398914	3897846217.5794616	41586569.60374835	188959650.0511143	148872671.64750648
2	2022-11-01	5310.010581825154	3708886567.528348	39559769.80051717	194336769.8296678	155602965.3454368
2	2022-12-01	5100.907273312981	3514549797.6986895	37473196.95207511	204815444.20816994	167515798.98032603
2	2023-01-01	4863.625541427749	3309734353.490515	35276201.6770584	158433920.0307631	122771717.5097912
2	2023-02-01	4697.884106548001	3151300433.459756	33580019.05936216	151059384.86735922	116483418.74982432
2	2023-03-01	4531.918440026966	3000241048.5923905	31961672.276200537	146055807.16250136	112591694.24131253
2	2023-04-01	4369.349709238137	2854185241.4298935	30398613.373648252	138556001.05270875	106286702.06987354
2	2023-05-01	4199.1275674483295	2715629240.377183	28915607.765321624	132861644.70478547	101837039.05755813
2	2023-06-01	4034.4292897352043	2582767595.6723976	27495378.5719018	129139262.71283111	99338135.7053208
2	2023-07-01	3873.08366409471	2453628332.9595637	26116171.713943537	120205218.00271434	91814616.16854045
2	2023-08-01	3698.8853572266044	2333423114.9568515	24830413.37293811	115938401.58320205	88917549.60580735
2	2023-09-01	3543.7338470649215	2217484713.37365	23591081.28691253	111175152.8731251	85391413.02693391
2	2023-10-01	3402.333288182385	2106309560.5005226	22403653.404634353	108770159.08533396	84125217.26001436
2	2023-11-01	3250.6131312359307	1997539401.4151921	21241590.167056546	110237127.42277923	86751063.68683875
2	2023-12-01	3102.976659729501	1887302273.9924107	20063677.89068135	114902178.7262995	92550127.33550386
2	2024-01-01	2939.8102537058876	1772400095.2661104	18836297.94269671	89054515.7367459	67922937.50111157
2	2024-02-01	2819.003402581601	1683345579.529365	17885929.07790225	83050503.65139586	62790461.832789786
2	2024-03-01	2711.713801442546	1600295075.8779655	16999849.915033452	81149068.7979224	61600769.04275933
2	2024-04-01	2611.661028162741	1519146007.080047	16134558.480270034	76161999.6234112	57293753.887990296
