Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
5	2022-02-01	8462.478866482445	6820770432.511718	72657073.07628024	227894603.53626734	166723282.6141296
5	2022-03-01	8290.140638860958	6592875828.975444	70187121.6538838	221902504.18502378	161654523.31418788
5	2022-04-01	8124.520936764288	6370973324.790408	67788456.97500537	210832941.7751401	151674107.0947195
5	2022-05-01	7963.538218543494	6160140383.015286	65508132.6563835	208502580.90464497	150281527.60843465
5	2022-06-01	7808.411927723263	5951637802.110644	63258453.39186524	199231562.6287055	141986108.62186903
5	2022-07-01	7657.966561793145	5752406239.481921	61104896.8962171	197727751.40988678	141312006.8177232
5	2022-08-01	7505.756328386929	5554678488.072057	58975443.84924698	185887960.3365751	130480144.28974462
5	2022-09-01	7362.558776803309	5368790527.7354765	56971800.92219041	174823968.78267306	120329592.13539523
5	2022-10-01	7218.164066909512	5193966558.952793	55088747.14552977	176417110.00254974	122746534.80557159
5	2022-11-01	7060.577323408148	5017549448.950241	53190098.11721744	178530272.87856036	125843445.0732066
5	2022-12-01	6903.542383698446	4839019176.071694	51265543.27720162	185342663.64238626	133657754.42658794
5	2023-01-01	6719.716709586561	4653676512.429304	49269310.26007623	154292759.71149528	103778569.93125802
5	2023-02-01	6591.669281148876	4499383752.717812	47615269.1391231	147429392.0935263	97639395.47797292
5	2023-03-01	6460.763366287638	4351954360.624276	46033816.738582045	144475527.5099298	95488718.08805877
5	2023-04-01	6328.972960442108	4207478833.114353	44486315.373590216	137609657.73912802	89554073.1464434
5	2023-05-01	6184.415095005406	4069869175.3752246	43012739.13095	133619948.42762291	86595416.86319686
5	2023-06-01	6042.214654040499	3936249226.9476013	41585037.93715601	133294461.1562514	87308735.10846844
5	2023-07-01	5901.570380738539	3802954765.791344	40163352.8852272	123468476.66633764	78910306.97980061
5	2023-08-01	5733.7414291728555	3679486289.1250105	38844207.30552877	120873362.15821034	77691153.92805588
5	2023-09-01	5592.575441302874	3558612926.9668026	37553958.196983755	118496465.90605406	76504323.39829387
5	2023-10-01	5468.387325832577	3440116461.0607433	36291756.163459584	114270339.6437408	73395966.16071184
5	2023-11-01	5327.372315415885	3325846121.4170074	35073234.34213221	112572621.3952581	72803814.83003531
5	2023-12-01	5198.509944161792	3213273500.021746	33871447.621395506	120022629.5567129	81308699.23894373
5	2024-01-01	5049.133108278375	3093250870.4650345	32591821.699253988	101932963.99491367	64444148.40358839
5	2024-02-01	4928.697750593991	2991317906.470121	31507921.088216636	95969349.34467041	59370204.70716732
5	2024-03-01	4826.810235679542	2895348557.1254416	30487731.353883956	97244065.40901202	61251011.11747259
