Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
1	2030-10-01	225.79738360852963	75293655.94207086	787294.3386596253	4821947.812110251	3219853.6648957366
1	2030-11-01	214.01673938986806	70471708.12996057	736678.3302257333	4570704.70725606	3054179.1031794613
1	2030-12-01	203.32498545892778	65901003.42270458	688757.4493948396	4982401.887627855	3531258.1661260435
1	2031-01-01	192.26290274319123	60918601.53507665	636619.9259055327	3975358.7339976155	2611146.0107772425
1	2031-02-01	183.18300531904657	56943242.801079094	595043.1785739275	3691050.0282651177	2387594.3989930963
1	2031-03-01	175.24733223847034	53252192.77281396	556315.6140586942	3219811.101131269	1979255.586438116
1	2031-04-01	168.4199580342917	50032381.67168273	522449.8675336015	3012292.8030715734	1818117.7424133413
1	2031-05-01	159.70109250103005	47020088.86861112	0.0	0.0	0.0
2	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
2	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	826009536.0090283	664192448.8261434
2	2019-06-01	21598.777237949103	21523906044.849266	234310393.04419515	745277553.9773136	586759945.3461456
2	2019-07-01	21067.10476272992	20778628490.871964	226038966.7118648	692394565.5571406	537051347.4971737
2	2019-08-01	20577.203906563827	20086233925.314835	218357650.7693688	672777153.4230298	520304787.626745
2	2019-09-01	20111.58458715715	19413456771.891716	210906728.25899854	646072244.8806998	496397153.86053616
2	2019-10-01	19672.632523596876	18767384527.01106	203760508.13052472	634573848.9030695	487518843.2838938
2	2019-11-01	19215.182929289684	18132810678.108074	196727133.31620574	645761319.9515818	501680273.4021872
2	2019-12-01	18726.74227026452	17487049358.156326	189572917.93346655	684731000.9095763	543891458.5826699
2	2020-01-01	18190.673560682557	16802318357.246805	181980051.78316996	538295808.6063066	401351913.0840302
2	2020-02-01	17775.90199380923	16264022548.640608	176037143.32618484	506234029.96529627	373124320.96792156
2	2020-03-01	17327.100348079133	15757788518.675173	170443448.30319297	505306144.9217868	375060994.64923507
2	2020-04-01	16921.385661002965	15252482373.753405	164877853.02508518	487205396.4708246	360123945.2225986
2	2020-05-01	16492.685378776776	14765276977.282612	159510509.77615464	477715734.04053456	353666328.80090284
2	2020-06-01	16069.78160321879	14287561243.242083	154256106.87135392	454627702.54163915	333300484.7194443
2	2020-07-01	15682.952240387353	13832933540.700462	149255952.88161272	434326450.75428295	315599808.4108157
2	2020-08-01	15328.935924680367	13398607089.946075	144482149.42995024	418333540.0424466	301780250.58878106
2	2020-09-01	14968.868272120453	12980273549.903625	139884658.85044616	409237100.9377314	294985767.10326385
2	2020-10-01	14632.09273675664	12571036448.965975	135391387.03153175	417448367.84311914	305319103.24006605
2	2020-11-01	14275.143472872116	12153588081.122852	130811906.13074103	434072502.78500026	324270451.2206556
2	2020-12-01	13889.78676020644	11719515578.337894	126050467.78782406	457748556.2395346	350640641.3827174
2	2021-01-01	13472.127184680916	11261767022.098375	121030965.00344747	356348650.31741863	262380426.40785116
2	2021-02-01	12491.748692841276	10905418371.780884	117124707.45693666	342632049.72463286	256694201.01592004
2	2021-03-01	11688.65276087047	10562786322.056229	113374226.96591912	333765457.99663746	254079146.61790493
2	2021-04-01	11264.781457429515	10229020864.059658	109727050.65387869	321991358.5580529	245064660.47914386
