Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
102	2016-08-03	2023-09-22	705122.23	12.25	33.23	55	1100000.0	67758.75	5	0
103	2016-08-03	2026-07-10	1075973.11	12.25	69.59	55	1176000.0	42514.81	4	0
104	2016-08-11	2031-08-10	356685.59	12.25	22.41	54	800000.0	31500.0	5	0
105	2017-02-01	2033-01-26	1224003.45	11.9	69.84	55	1431781.01	117002.39	6	0
106	2016-08-09	2025-07-12	1571932.6	12.25	68.07	54	1750000.0	54285.32	5	0
107	2016-08-18	2029-12-26	1639530.79	12.25	55.38	54	1800000.0	52501.02	3	0
108	2016-08-29	2041-08-27	1436498.46	12.25	78.38	54	1450000.0	56942.47	4	0
109	2016-10-21	2021-09-19	480806.83	11.5	80.0	70	1216000.0	44442.0	6	0
110	2016-09-05	2031-08-10	1047658.34	11.5	68.13	54	1090000.0	34641.89	5	0
111	2016-08-31	2032-09-08	852382.12	11.5	42.65	54	900000.0	22861.98	5	0
112	2016-09-02	2041-08-27	1567269.41	12.25	78.63	54	1582000.0	38353.95	3	0
113	2016-09-21	2021-06-20	271025.88	12.25	20.99	54	570000.0	34276.13	5	0
114	2016-09-29	2023-09-26	563552.99	12.25	22.44	54	650000.0	36413.43	5	0
115	2016-09-29	2023-08-15	625441.29	12.25	45.29	24	900000.0	39943.78	4	0
116	2016-10-04	2021-09-23	512490.51	11.5	43.35	55	750000.0	51875.09	6	0
117	2016-12-12	2020-06-25	290769.83	11.5	81.34	54	850000.0	60139.74	5	0
118	2016-10-03	2031-09-20	1777355.84	13.25	70.0	54	1834000.0	50024.0	4	0
119	2016-10-18	2032-04-17	1347600.41	12.25	29.6	54	1560000.0	81803.0	5	0
120	2016-10-14	2031-10-10	1285861.84	12.25	80.0	54	1328000.0	40000.0	4	0
121	2017-01-18	2029-08-03	1105700.94	11.5	69.44	55	1250000.0	44676.58	5	0
122	2016-12-30	2023-12-11	844403.07	11.5	48.39	70	1050000.0	108183.7	5	0
123	2016-08-30	2036-08-25	1474515.47	12.75	60.88	54	1500000.0	72917.5	5	0
124	2013-09-09	2025-09-04	729921.82	13.25	58.53	54	1492396.97	85325.35	5	0
125	2013-10-29	2022-10-18	327761.54	11.0	66.18	54	1800000.0	52984.5	5	0
126	2010-12-15	2030-11-16	1038343.87	12.25	75.0	54	1200000.0	35613.5	3	0
127	2013-04-15	2023-03-23	661544.15	12.0	70.0	54	1645000.0	113750.5	5	0
128	2010-07-14	2025-06-23	1008726.72	13.5	81.76	54	1390000.0	62008.5	6	0
129	2013-06-07	2021-05-10	471748.73	11.75	40.36	55	900000.0	42787.34	5	0
130	2013-04-25	2028-04-25	514762.18	11.75	32.9	55	1020000.0	27768.95	4	0
131	2013-06-11	2028-06-08	1133254.75	12.5	78.11	55	1320000.0	50265.34	5	0
132	2011-09-20	2026-09-07	852646.36	12.0	84.35	55	1105000.0	42363.86	5	0
133	2014-12-04	2024-11-15	418357.66	13.5	21.94	55	700000.0	30434.97	4	0
134	2014-04-29	2029-04-20	1071563.05	12.0	83.0	55	1445000.0	46324.68	4	0
135	2013-05-17	2028-05-07	510760.77	11.5	50.42	55	1200000.0	34291.38	4	0
136	2013-11-28	2028-11-07	1124535.23	11.5	79.27	55	1300000.0	64383.22	5	0
137	2014-12-29	2034-12-22	1190967.13	12.0	69.39	55	1700000.0	87143.83	5	0
138	2012-11-30	2022-11-10	288956.02	12.0	34.14	55	850000.0	33330.0	5	0
139	2014-06-26	2029-06-20	1110619.69	12.0	71.43	55	1700000.0	45999.67	4	0
140	2016-10-20	2023-03-15	876126.36	13.4	54.95	54	1345841.08	48861.14	5	0
141	2008-03-28	2028-03-12	1113144.98	11.9	87.11	54	1800000.0	41280.05	5	0
142	2014-09-18	2034-08-27	1355316.46	11.75	70.0	54	1430800.0	43714.0	3	0
143	2010-12-30	2025-12-15	998419.08	12.25	80.0	54	1360000.0	53424.75	4	0
144	2014-02-13	2034-02-10	1644241.02	12.0	65.79	54	1750000.0	67403.66	4	0
145	2013-09-06	2023-08-11	982904.4	11.0	59.75	54	1930000.0	115919.62	5	0
146	2017-02-03	2028-01-18	593566.71	11.9	17.8	24	624455.8	57839.9	5	0
147	2016-12-20	2018-02-21	0.0	12.9	52.97	24	1700169.0	48506.38	5	0
148	2013-01-25	2030-01-25	1009181.72	12.25	42.25	24	1150000.0	29999.78	4	0
149	2016-12-19	2022-01-25	651669.14	11.9	44.91	54	1300000.0	73051.89	3	0
150	2013-10-17	2018-02-15	0.0	12.25	55.34	55	1148780.0	31768.9	5	0
151	2016-02-16	2036-02-03	236996.88	13.65	68.49	54	1515000.0	63370.11	5	0
152	2013-12-24	2023-11-25	447194.3	12.5	67.04	55	1200000.0	41760.0	5	0
153	2016-06-07	2031-05-20	224931.77	12.25	36.07	54	1100000.0	86192.38	5	0
154	2017-02-07	2029-01-20	748780.48	11.9	37.45	24	782493.28	40680.09	5	0
155	2016-05-19	2041-05-18	1381768.63	11.5	78.59	23	1600000.0	113951.68	5	0
156	2017-02-07	2018-11-10	206139.53	11.5	79.11	61	1500000.0	79599.99	5	0
157	2013-08-21	2028-08-10	1624537.77	12.0	68.6	23	1890000.0	96510.98	5	0
158	2013-10-17	2036-10-17	950625.57	12.25	60.2	23	1000000.0	24734.92	5	0
159	2013-10-22	2031-10-20	2290278.74	12.5	85.0	23	2890000.0	87582.74	5	0
160	2017-02-08	2027-01-10	473545.57	11.5	19.04	23	700000.0	67121.99	5	0
161	2017-01-24	2020-02-19	355447.57	11.9	70.65	24	1172141.24	102231.24	5	0
162	2012-12-25	2032-12-15	1105265.36	12.0	67.74	55	1430000.0	60589.67	5	0
163	2014-06-24	2027-06-14	1591269.95	11.25	59.38	54	1900000.0	49669.25	6	0
164	2011-02-10	2021-02-10	564796.8	12.25	66.49	54	1290000.0	41728.25	5	0
165	2016-11-14	2036-10-20	1080492.45	11.9	54.46	54	1100000.0	35164.0	4	0
166	2013-12-13	2033-11-20	1112059.62	11.0	67.42	54	1200000.0	33032.42	4	0
167	2012-06-27	2032-06-17	1362495.74	13.0	84.97	54	1916000.0	56113.35	4	0
168	2014-03-07	2021-02-15	375186.93	11.0	36.94	24	1450000.0	62556.14	5	0
169	2013-01-31	2018-02-28	0.0	12.5	84.76	70	1827500.0	65093.75	5	0
170	2013-09-23	2025-08-24	3593785.72	13.25	71.48	55	4593300.0	146741.13	5	0
171	2016-05-20	2031-04-23	4254987.65	12.25	71.8	77	4675000.0	132346.31	5	0
172	2016-11-01	2019-02-20	337122.01	11.9	79.07	54	3400000.0	75361.71	5	0
173	2013-02-15	2028-02-06	910630.28	12.0	62.81	54	1250000.0	47916.65	5	0
174	2011-10-27	2026-10-14	942176.74	13.25	85.0	54	1190000.0	44208.94	4	0
175	2007-12-13	2032-11-22	509783.76	12.4	23.54	54	580000.0	15727.8	5	0
176	2014-01-30	2029-01-10	419517.38	12.25	68.75	54	1650000.0	140472.61	6	0
177	2013-08-22	2033-08-15	1099241.82	11.0	50.0	54	1600000.0	57406.25	4	0
178	2013-10-18	2028-09-20	1256587.12	12.5	67.07	54	1448644.0	48711.95	6	0
179	2014-10-03	2037-09-27	1548444.05	12.25	32.97	24	2500000.0	152250.0	5	0
180	2016-11-18	2039-03-20	1966433.95	11.9	56.78	54	2500000.0	92419.91	5	0
181	2016-08-08	2041-08-02	309139.51	12.25	27.38	54	900000.0	41930.25	5	0
182	2016-12-06	2029-11-20	1151255.02	11.9	75.52	54	1200000.0	36443.47	5	0
183	2016-11-16	2035-07-17	2505152.71	11.9	76.4	54	2600000.0	61412.0	5	0
184	2013-12-25	2028-12-22	1745501.81	12.0	53.76	54	2000000.0	50682.4	5	0
185	2017-01-17	2026-12-18	1525023.74	11.9	79.83	24	1721296.75	63920.8	4	0
186	2017-01-11	2029-12-17	1132514.78	11.9	75.0	55	1179750.0	49304.94	5	0
187	2014-07-17	2029-07-16	809456.24	12.5	51.49	24	900000.0	30650.95	4	0
188	2016-12-28	2021-11-21	400259.22	12.9	30.17	55	627507.43	61800.0	5	0
189	2014-08-05	2034-07-12	119802.56	12.5	75.63	54	1800000.0	29507.39	5	0
190	2015-12-22	2030-11-25	843460.13	13.65	57.08	54	1290000.0	54247.97	3	0
191	2016-06-30	2041-06-25	1267447.47	12.25	67.05	54	1280000.0	31069.73	5	0
192	2014-09-30	2024-09-26	392169.32	12.0	19.34	55	500000.0	39586.99	5	0
193	2014-10-08	2024-09-10	841518.21	12.0	70.0	55	1148000.0	41389.07	4	0
194	2016-12-23	2028-10-15	386711.68	11.9	37.22	42	1150000.0	34859.73	3	0
195	2014-10-22	2029-10-10	1066672.93	12.5	49.25	55	1175000.0	25309.28	3	0
196	2014-10-31	2024-10-06	1027094.49	13.25	75.0	54	1537500.0	56419.51	5	0
197	2014-10-30	2024-10-15	811730.29	12.75	38.56	55	1600000.0	61223.0	5	0
198	2016-11-24	2031-11-05	1256580.02	11.9	78.13	54	1450000.0	48567.1	5	0
199	2014-10-28	2022-10-20	371755.56	12.75	70.0	55	1049300.0	74057.55	4	0
200	2014-11-13	2023-10-18	528586.92	12.5	28.69	54	700000.0	30734.47	5	0
201	2014-11-21	2024-10-25	319967.13	12.75	34.94	55	1000000.0	65695.06	5	0
202	2014-11-27	2028-11-20	1012746.62	12.5	41.61	54	1129730.0	31782.44	4	0
203	2016-08-23	2036-08-20	1572082.46	11.5	79.96	70	1604000.0	60901.75	5	0
204	2014-12-24	2027-11-25	862062.94	14.25	71.81	54	1075000.0	53642.0	5	0
205	2014-12-16	2039-11-23	1598753.62	13.5	75.17	24	1629000.0	45979.99	4	0
206	2015-01-22	2030-01-15	617149.11	14.25	80.28	54	1445000.0	48803.01	6	0
207	2014-12-23	2019-12-15	351804.7	11.5	22.14	54	800000.0	40020.0	5	0
208	2014-12-26	2039-12-25	1607155.21	13.25	59.68	54	1639312.0	51492.98	5	0
209	2014-12-29	2024-12-12	220549.37	14.75	27.47	55	500000.0	39032.32	4	0
210	2014-12-30	2019-12-10	317853.37	11.5	29.99	55	724245.0	61953.36	5	0
211	2014-12-29	2019-12-12	290876.02	11.5	30.05	54	1130300.0	48214.0	5	0
212	2016-09-05	2021-05-05	1290907.18	12.25	82.58	24	1785000.0	179015.65	5	0
213	2016-10-26	2041-09-27	2180052.57	11.9	61.8	54	2200000.0	56584.5	5	0
214	2013-12-20	2026-12-15	582743.95	12.5	30.76	24	1140000.0	33759.05	5	0
215	2017-01-20	2029-01-10	1197193.22	12.9	77.03	24	1247049.39	58080.74	3	0
216	2014-07-04	2029-06-26	1434776.47	12.75	80.02	24	2500000.0	65792.5	4	0
217	2014-01-17	2029-01-14	1067369.75	11.5	43.4	24	1700000.0	73238.35	5	0
218	2016-03-29	2023-03-15	917451.53	13.7	68.67	55	1120000.0	50000.0	5	0
219	2014-12-30	2020-12-10	326509.96	14.5	25.23	54	560000.0	45929.55	5	0
220	2016-11-25	2020-04-15	523268.26	11.9	30.15	54	1200000.0	75358.36	5	0
221	2014-02-17	2038-02-10	774259.53	12.75	83.68	55	1253500.0	32310.93	5	0
222	2014-02-20	2029-01-27	937142.52	12.5	48.36	24	1500000.0	44805.0	5	0
223	2017-02-10	2027-02-05	1327274.46	11.5	68.29	54	1400000.0	57826.98	5	0
224	2014-09-12	2031-09-02	504532.9	12.0	29.11	24	600000.0	39866.86	4	0
225	2016-11-16	2024-12-22	1058052.75	11.9	46.84	54	1900000.0	126308.83	5	0
226	2014-03-31	2021-03-20	326248.19	11.5	21.05	54	600000.0	26141.83	4	0
227	2014-03-31	2019-03-03	262722.61	12.5	34.74	54	1024976.56	50000.64	4	0
228	2016-12-15	2019-05-12	437254.0	12.4	66.33	24	2800000.0	146336.39	5	0
229	2014-03-21	2020-02-27	480714.62	12.5	55.47	24	1184244.36	56456.35	5	0
230	2014-03-28	2030-03-25	898956.75	12.0	49.5	54	1000000.0	26630.36	5	0
231	2014-04-03	2018-02-03	0.0	12.25	69.93	24	1430000.0	35656.64	5	0
232	2014-04-04	2030-03-22	436763.71	12.0	61.69	55	950000.0	35767.88	4	0
233	2014-04-09	2021-03-25	707727.62	11.5	67.71	54	1300000.0	56042.03	5	0
234	2014-04-14	2029-03-25	1409109.81	13.5	84.54	54	1572500.0	62950.0	5	0
235	2016-06-14	2036-06-05	1023778.32	12.25	65.67	54	1500000.0	64335.83	4	0
236	2014-04-28	2037-04-15	1214548.3	12.25	63.05	54	1261000.0	30472.22	5	0
237	2014-04-29	2034-04-23	659264.09	12.0	64.97	54	1280000.0	38605.33	5	0
238	2016-12-09	2018-02-01	0.0	11.9	68.59	54	1500000.0	67248.79	4	0
239	2014-05-28	2021-05-20	683976.47	12.5	57.39	54	1501237.43	54399.66	5	0
240	2014-06-11	2029-05-12	845887.22	12.25	48.22	55	950000.0	36164.88	4	0
241	2017-02-21	2042-02-15	876476.71	11.9	41.77	55	881330.0	35824.35	4	0
242	2014-06-27	2021-06-25	290396.29	11.5	18.11	55	500000.0	61632.39	5	0
