Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
11768	2012-07-10	2023-09-18	1007937.07	13.05	64.42	29	1800000.0	39798.17	4	0
11769	2012-05-14	2018-09-18	0.0	12.55	39.75	29	1100000.0	9831.0	5	0
11770	2012-05-05	2021-02-18	362457.24	13.55	49.73	29	1000000.0	35000.0	5	0
11771	2012-03-21	2023-02-20	1216600.29	12.35	84.32	29	2500000.0	54453.44	5	0
11772	2012-03-11	2027-05-11	606665.44	11.45	31.89	29	800000.0	25929.77	4	0
11773	2012-02-17	2027-04-16	1279887.33	11.05	30.34	29	1700000.0	57114.56	5	0
11774	2012-02-14	2020-10-12	291472.64	11.55	47.0	29	1200000.0	32809.63	5	0
11775	2013-02-15	2020-04-15	229903.59	11.4	33.28	29	800000.0	80000.0	5	0
11776	2012-02-03	2027-04-02	605379.53	11.75	33.31	29	800000.0	25338.61	5	0
11777	2011-12-30	2036-01-28	702986.75	13.35	66.67	29	1136000.0	21868.63	3	0
11778	2011-12-26	2027-02-26	1226438.29	12.35	89.94	29	1610000.0	38584.03	4	0
11779	2011-12-15	2027-02-15	633850.4	11.55	49.25	29	850000.0	22916.57	3	0
11780	2011-12-05	2032-02-05	1229934.2	12.85	49.71	29	1390000.0	40000.0	3	0
11781	2011-10-27	2026-12-25	1016072.84	12.35	88.87	29	1350000.0	30079.43	4	0
11782	2011-10-11	2021-03-01	413775.59	12.35	87.38	29	1420000.0	38849.89	4	0
11783	2011-10-03	2031-07-28	976784.24	12.65	89.13	29	1575000.0	35000.0	4	0
11784	2009-08-19	2024-10-18	531269.93	15.85	70.0	29	786800.0	36109.21	4	0
11785	2016-03-30	2026-05-29	734941.99	13.5	18.89	63	850000.0	21352.33	4	0
11786	2016-01-20	2031-03-20	798330.01	14.0	45.31	63	850000.0	27733.03	5	0
11787	2012-01-30	2027-03-30	837051.76	12.05	47.72	29	1100000.0	29810.08	3	0
11788	2013-03-04	2028-03-28	404825.03	13.05	48.81	29	900000.0	25868.11	4	0
11789	2013-03-26	2020-05-26	339966.42	11.4	39.99	29	1127000.0	42000.0	4	0
11790	2013-05-06	2028-07-06	1251187.78	14.15	63.84	29	2680000.0	75000.0	4	0
11791	2013-11-15	2027-01-18	905497.93	12.3	58.39	29	1200000.0	38058.67	5	0
11792	2013-11-15	2029-01-15	1296326.68	12.55	71.1	29	2000000.0	49471.51	4	0
11793	2013-10-30	2031-03-18	1399548.26	12.6	33.81	29	1700000.0	41515.31	5	0
11794	2013-10-31	2023-12-29	476478.19	13.8	27.86	29	700000.0	20000.0	4	0
11795	2013-10-08	2023-12-08	1097189.59	12.7	85.98	29	1644000.0	38336.54	4	0
11796	2013-10-17	2023-12-15	1220796.56	12.55	62.23	29	1850000.0	76359.9	4	0
11797	2013-10-23	2028-05-29	302944.95	12.55	60.74	29	1250000.0	56185.97	4	0
11798	2013-09-20	2033-10-28	1006224.95	12.95	84.51	29	1550000.0	24923.25	4	0
11799	2013-09-12	2020-11-12	416426.95	12.2	74.47	29	1400000.0	81938.59	6	0
11800	2013-09-17	2028-08-28	862356.29	12.3	47.74	29	1500000.0	36843.63	5	0
11801	2013-09-17	2020-11-17	678236.36	12.35	89.97	29	1723000.0	55427.32	5	0
11802	2013-09-09	2023-11-09	1017626.3	14.05	61.86	29	1520000.0	65000.0	5	0
11803	2013-08-26	2028-10-26	2981999.11	12.55	66.82	29	3900000.0	48506.1	4	0
11804	2013-08-20	2020-09-28	741101.66	13.45	31.49	29	2000000.0	100000.0	5	0
11805	2013-07-31	2028-09-29	700967.95	12.55	74.79	29	3160000.0	90239.37	4	0
11806	2013-07-30	2031-02-18	535121.43	14.1	59.81	29	1000000.0	20000.0	4	0
11807	2013-07-22	2024-03-28	1024812.72	12.85	67.5	29	1890000.0	41557.58	5	0
11808	2013-07-04	2028-09-04	618425.06	13.15	75.21	29	1520000.0	27783.94	4	0
11809	2013-06-07	2028-08-07	416143.11	12.75	59.35	29	1400000.0	34328.75	5	0
